order_id,order_date,sales_qty,sales_amount,currency,user_id,r_id
111,05-10-2017,6,8407,INR,97160,323879
112,05-10-2017,8,10324,INR,41904,205535
113,05-10-2017,4,4083,INR,20545,527818
114,05-10-2017,53,48269,INR,35922,552896
115,05-10-2017,5,12440,INR,67001,239482
116,05-10-2017,1,2185,INR,7959,457879
117,05-10-2017,5,7213,INR,60686,368082
118,05-10-2017,4,5384,INR,16434,74686
119,05-10-2017,1,338,INR,81577,549843
120,05-10-2017,40,34634,INR,68040,368089
121,05-10-2017,1,856,INR,42450,535447
122,05-10-2017,1,801,INR,97438,548534
123,06-10-2017,1,505,INR,76228,271964
124,06-10-2017,1,505,INR,58053,146135
125,06-10-2017,4,8384,INR,5758,492152
126,06-10-2017,1,3287,INR,9904,577524
127,06-10-2017,13,41880,INR,13944,531687
128,06-10-2017,3,8713,INR,92515,428627
129,06-10-2017,13,30528,INR,71522,84146
130,06-10-2017,14,21218,INR,20931,473959
131,06-10-2017,2,4569,INR,86424,511702
132,06-10-2017,14,7921,INR,31427,479819
133,06-10-2017,2,6361,INR,43482,505356
134,06-10-2017,1,523,INR,12455,503647
135,06-10-2017,1,227,INR,91575,535699
136,06-10-2017,4,1565,INR,24236,570036
137,06-10-2017,11,3870,INR,79114,434263
138,06-10-2017,6,3185,INR,31514,573988
139,06-10-2017,11,5023,INR,32184,255814
140,06-10-2017,115,48264,INR,47232,135778
141,06-10-2017,3,833,INR,507,385668
142,06-10-2017,107,26926,INR,34965,541733
143,06-10-2017,1,190,INR,28917,134415
144,06-10-2017,1,417,INR,16724,374010
145,06-10-2017,5,2421,INR,14081,527590
146,06-10-2017,25,1764,INR,29692,324180
147,06-10-2017,400,43560,INR,35247,447814
148,06-10-2017,1,144,INR,58398,492705
149,06-10-2017,7,1667,INR,97113,476474
150,06-10-2017,7,1704,INR,83040,342426
151,06-10-2017,1,398,INR,92719,168258
152,06-10-2017,1,222,INR,62966,471589
153,06-10-2017,5,6662,INR,98089,435863
154,06-10-2017,3,5417,INR,75664,231872
155,06-10-2017,6,1366,INR,87057,550044
156,06-10-2017,1,292,INR,315,526205
157,06-10-2017,90,23958,INR,54056,464505
158,06-10-2017,1,222,INR,27447,527044
159,06-10-2017,1,394,INR,30085,572501
160,06-10-2017,4,1546,INR,91624,526280
161,06-10-2017,1,449,INR,6030,526285
162,06-10-2017,6,2505,INR,98803,526283
163,06-10-2017,1,176,INR,57545,526284
164,06-10-2017,1,93,INR,860,524768
165,06-10-2017,1,139,INR,4687,466251
166,06-10-2017,1,111,INR,13861,433379
167,06-10-2017,1,56,INR,56293,566247
168,06-10-2017,1,282,INR,21053,98414
169,06-10-2017,1,56,INR,29910,10162
170,06-10-2017,6,852,INR,27074,17892
171,06-10-2017,1,250,INR,93523,306441
172,06-10-2017,20,3407,INR,39235,436325
173,06-10-2017,5,2616,INR,74925,355759
174,06-10-2017,1,83,INR,31478,436948
175,06-10-2017,1,60,INR,24577,560685
176,06-10-2017,2,917,INR,79570,42352
177,06-10-2017,7,3171,INR,58283,378734
178,06-10-2017,2,704,INR,45818,536690
179,06-10-2017,12,3269,INR,10074,391735
180,06-10-2017,1,208,INR,26899,284783
181,06-10-2017,24,24875,INR,65716,545135
182,06-10-2017,3,690,INR,73947,275050
183,06-10-2017,1,116,INR,16268,304472
184,06-10-2017,1,556,INR,80925,531070
185,06-10-2017,2,2620,INR,96607,223206
186,06-10-2017,1,190,INR,79276,464096
187,06-10-2017,1,185,INR,65996,160899
188,06-10-2017,2,3120,INR,22599,344209
189,06-10-2017,1,1389,INR,65888,552766
190,06-10-2017,3,2009,INR,67437,5744
191,06-10-2017,13,11796,INR,7418,418046
192,06-10-2017,1,102,INR,75194,77619
193,06-10-2017,1,472,INR,55930,415907
194,06-10-2017,1,407,INR,28258,358139
195,06-10-2017,1,644,INR,92484,563196
196,06-10-2017,1,287,INR,54776,547345
197,06-10-2017,32,1963,INR,86321,543875
198,06-10-2017,2,97,INR,63400,572589
199,06-10-2017,13,898,INR,15632,571254
200,06-10-2017,5,380,INR,70751,396066
201,06-10-2017,21,1778,INR,53655,459728
202,06-10-2017,1,65,INR,8403,520450
203,06-10-2017,60,5255,INR,60861,482868
204,06-10-2017,22,2111,INR,5827,155523
205,06-10-2017,1,65,INR,58458,39073
206,06-10-2017,1,120,INR,75730,15806
207,06-10-2017,1,185,INR,20910,338428
208,06-10-2017,44,4588,INR,95866,35537
209,06-10-2017,1,65,INR,24698,3916
210,06-10-2017,1,134,INR,63356,552790
211,06-10-2017,1,315,INR,34221,508999
212,06-10-2017,6,4829,INR,70415,390369
213,06-10-2017,1,185,INR,62,258691
214,06-10-2017,1,222,INR,74322,550406
215,06-10-2017,1,102,INR,62791,123616
216,06-10-2017,1,83,INR,61695,464394
217,06-10-2017,1,116,INR,68346,571709
218,06-10-2017,2,366,INR,90460,59858
219,06-10-2017,3,407,INR,53509,505899
220,06-10-2017,1,51,INR,17425,347634
221,06-10-2017,1,120,INR,55155,450771
222,06-10-2017,1,227,INR,28996,512415
223,06-10-2017,1,259,INR,2599,514474
224,06-10-2017,1,315,INR,56865,531531
225,06-10-2017,1,213,INR,48310,168115
226,06-10-2017,1,394,INR,17118,539454
227,06-10-2017,1,190,INR,76970,543317
228,06-10-2017,1,153,INR,42851,406647
229,06-10-2017,1,97,INR,25486,452689
230,06-10-2017,1,37,INR,89543,496222
231,06-10-2017,1,144,INR,82506,541893
232,06-10-2017,1,144,INR,42480,92480
233,06-10-2017,1,213,INR,39743,263837
234,06-10-2017,1,32,INR,86411,15121
235,06-10-2017,1,208,INR,27078,391954
236,06-10-2017,1,125,INR,89145,426904
237,06-10-2017,1,509,INR,29363,423929
238,06-10-2017,2,1421,INR,58478,51897
239,06-10-2017,3,2889,INR,27869,503191
240,06-10-2017,1,231,INR,30965,416565
241,06-10-2017,1,574,INR,62769,438211
242,06-10-2017,1,991,INR,21529,192258
243,06-10-2017,7,8644,INR,2182,79634
244,06-10-2017,1,1333,INR,60521,445584
245,06-10-2017,1,329,INR,77387,36271
246,06-10-2017,3,4329,INR,89602,481314
247,06-10-2017,7,8847,INR,19792,305280
248,06-10-2017,1,824,INR,40225,141904
249,06-10-2017,20,32398,INR,96262,465502
250,06-10-2017,80,89338,INR,46500,205668
251,06-10-2017,9,9532,INR,33590,532171
252,06-10-2017,13,28269,INR,12323,404603
253,06-10-2017,7,18523,INR,59172,180277
254,06-10-2017,1,1051,INR,24415,174547
255,06-10-2017,1,1458,INR,37658,412888
256,06-10-2017,3,9528,INR,42709,513104
257,06-10-2017,23,45981,INR,45054,65028
258,06-10-2017,1,417,INR,7089,83795
259,06-10-2017,1,662,INR,24758,122597
260,06-10-2017,2,2245,INR,18259,441048
261,06-10-2017,3,3569,INR,67103,76112
262,06-10-2017,3,4097,INR,91920,448662
263,06-10-2017,1,1352,INR,19129,548265
264,06-10-2017,1,282,INR,71571,380960
265,06-10-2017,1,1602,INR,15944,436621
266,06-10-2017,3,6963,INR,63095,456552
267,06-10-2017,1,523,INR,64709,251997
268,06-10-2017,1,1616,INR,31329,544297
269,06-10-2017,3,5037,INR,94734,
270,09-10-2017,1,185,INR,41882,368328
271,09-10-2017,1,185,INR,62918,174578
272,09-10-2017,1,1606,INR,69269,510857
273,09-10-2017,1,301,INR,68534,548017
274,09-10-2017,1,583,INR,92116,523638
275,09-10-2017,5,2366,INR,10182,38056
276,09-10-2017,1,287,INR,67464,38057
277,09-10-2017,48,17926,INR,49616,481956
278,09-10-2017,33,2014,INR,66347,566569
279,09-10-2017,58,5361,INR,5842,324187
280,09-10-2017,1,333,INR,14319,295516
281,09-10-2017,7,3051,INR,89265,551122
282,09-10-2017,1,704,INR,65928,209536
283,09-10-2017,7,1704,INR,59877,168297
284,09-10-2017,1,380,INR,87959,450265
285,09-10-2017,1,1139,INR,87775,240864
286,09-10-2017,20,5019,INR,52721,526209
287,09-10-2017,1,9,INR,11416,556915
288,09-10-2017,1,222,INR,44105,556910
289,09-10-2017,1,194,INR,98156,345723
290,09-10-2017,1,167,INR,72693,237536
291,09-10-2017,2,1319,INR,73738,315608
292,09-10-2017,1,106,INR,89770,354761
293,09-10-2017,5,2074,INR,3222,220046
294,09-10-2017,13,2194,INR,7077,353679
295,09-10-2017,1,356,INR,58229,306906
296,09-10-2017,1,46,INR,82570,544580
297,09-10-2017,5,963,INR,51275,19205
298,09-10-2017,8,4190,INR,90460,21775
299,09-10-2017,1,93,INR,83984,539685
300,09-10-2017,1,245,INR,42651,558222
301,09-10-2017,1,551,INR,39345,145379
302,09-10-2017,12,3778,INR,32341,491552
303,09-10-2017,1,417,INR,34268,34958
304,09-10-2017,1,46,INR,86231,450287
305,09-10-2017,1,255,INR,37090,521090
306,09-10-2017,1,74,INR,39644,240006
307,09-10-2017,7,6829,INR,43693,14586
308,09-10-2017,1,185,INR,57679,432710
309,09-10-2017,1,0,INR,61975,578855
310,09-10-2017,1,1431,INR,51374,329361
311,09-10-2017,1,185,INR,18284,556261
312,09-10-2017,1,431,INR,93625,527578
313,09-10-2017,1,977,INR,2038,423191
314,09-10-2017,1,315,INR,89188,466383
315,09-10-2017,1,949,INR,67295,87321
316,09-10-2017,3,1727,INR,516,467283
317,09-10-2017,1,162,INR,46451,6307
318,09-10-2017,1,194,INR,14219,309339
319,09-10-2017,1,343,INR,66985,455046
320,09-10-2017,2,1019,INR,46465,290338
321,09-10-2017,267,20046,INR,77154,330047
322,09-10-2017,7,1074,INR,69556,208971
323,09-10-2017,667,51356,INR,89093,532539
324,09-10-2017,10,630,INR,50583,510082
325,09-10-2017,1,37,INR,15069,504488
326,09-10-2017,715,50361,INR,8102,569182
327,09-10-2017,32,2782,INR,75016,372280
328,09-10-2017,52,4551,INR,99728,391851
329,09-10-2017,60,5255,INR,11115,72204
330,09-10-2017,80,12833,INR,14968,494959
331,09-10-2017,1,106,INR,2651,459731
332,09-10-2017,1,120,INR,62292,393607
333,09-10-2017,24,6065,INR,51809,341712
334,09-10-2017,5,1231,INR,52179,258546
335,09-10-2017,33,4852,INR,37248,145930
336,09-10-2017,9,963,INR,50596,34444
337,09-10-2017,1,264,INR,43577,75101
338,09-10-2017,1,93,INR,88238,492306
339,09-10-2017,1,74,INR,62156,545679
340,09-10-2017,1,481,INR,29157,555977
341,09-10-2017,1,194,INR,86983,298218
342,09-10-2017,1,931,INR,39,40118
343,09-10-2017,1,116,INR,43866,516526
344,09-10-2017,1,134,INR,48738,120155
345,09-10-2017,1,120,INR,58913,114637
346,09-10-2017,1,69,INR,22228,515480
347,09-10-2017,1,51,INR,93722,398138
348,09-10-2017,1,486,INR,9227,360388
349,09-10-2017,1,153,INR,49111,394846
350,09-10-2017,2,347,INR,37132,395693
351,09-10-2017,2,421,INR,31082,267355
352,09-10-2017,1,426,INR,65978,509803
353,09-10-2017,2,634,INR,57719,273385
354,09-10-2017,1,241,INR,11213,523120
355,09-10-2017,1,106,INR,37068,293071
356,09-10-2017,1,926,INR,99036,195925
357,09-10-2017,1,148,INR,36782,394696
358,09-10-2017,2,301,INR,47057,114763
359,09-10-2017,1,162,INR,52428,54228
360,09-10-2017,1,144,INR,88016,497434
361,09-10-2017,1,282,INR,22432,451777
362,09-10-2017,1,245,INR,10307,401482
363,09-10-2017,1,611,INR,77465,16536
364,09-10-2017,1,537,INR,26478,525407
365,09-10-2017,1,1116,INR,50342,362312
366,09-10-2017,30,25741,INR,45264,110210
367,09-10-2017,1,537,INR,5986,409404
368,09-10-2017,3,6125,INR,61062,205283
369,09-10-2017,53,84370,INR,89532,114064
370,09-10-2017,23,40977,INR,86201,103721
371,09-10-2017,1,657,INR,38713,185803
372,09-10-2017,1,579,INR,37042,70708
373,09-10-2017,2,2324,INR,52099,512976
374,09-10-2017,40,39269,INR,46926,461524
375,09-10-2017,3,4185,INR,43207,407005
376,09-10-2017,2,5995,INR,9406,
377,09-10-2017,23,23292,INR,1737,
378,10-10-2017,100,41241,INR,49226,567335
379,10-10-2017,240,143560,INR,82777,385636
380,10-10-2017,100,41241,INR,92578,450591
381,10-10-2017,240,143560,INR,49796,155345
382,10-10-2017,140,153019,INR,922,36780
383,10-10-2017,1,0,INR,82531,84145
384,10-10-2017,1,0,INR,38871,114318
385,10-10-2017,1,0,INR,92626,486864
386,10-10-2017,10,3014,INR,76257,374814
387,10-10-2017,1,269,INR,99503,509976
388,10-10-2017,4,1477,INR,40693,444338
389,10-10-2017,7,2273,INR,46942,155506
390,10-10-2017,3,810,INR,48749,507210
391,10-10-2017,2,1153,INR,4245,407031
392,10-10-2017,4,2241,INR,16317,318685
393,10-10-2017,1,0,INR,86628,571534
394,10-10-2017,1,0,INR,72713,423142
395,10-10-2017,5,1329,INR,91799,493202
396,10-10-2017,10,5944,INR,28444,465588
397,10-10-2017,7,9741,INR,30412,466200
398,10-10-2017,67,2685,INR,69109,543867
399,10-10-2017,38,2380,INR,10783,516759
400,10-10-2017,20,5861,INR,31890,525582
401,10-10-2017,3,1102,INR,11044,105814
402,10-10-2017,13,2671,INR,67168,369511
403,10-10-2017,1,93,INR,87043,400884
404,10-10-2017,27,3931,INR,98706,298791
405,10-10-2017,67,16671,INR,51923,234642
406,10-10-2017,2,917,INR,92948,564699
407,10-10-2017,13,5218,INR,75714,501648
408,10-10-2017,7,1704,INR,3378,538876
409,10-10-2017,13,4968,INR,16705,497818
410,10-10-2017,1,319,INR,51893,163121
411,10-10-2017,11,2884,INR,2024,348504
412,10-10-2017,2,412,INR,51715,482236
413,10-10-2017,1,167,INR,21421,150945
414,10-10-2017,1,593,INR,86103,545374
415,10-10-2017,1,42,INR,45081,563587
416,10-10-2017,1,602,INR,15802,97546
417,10-10-2017,1,324,INR,32244,552205
418,10-10-2017,2,667,INR,38951,76988
419,10-10-2017,1,1190,INR,91746,348551
420,10-10-2017,6,1588,INR,10668,507993
421,10-10-2017,1,181,INR,31048,463562
422,10-10-2017,1,111,INR,9169,522047
423,10-10-2017,1,181,INR,28073,84325
424,10-10-2017,1,282,INR,16183,469427
425,10-10-2017,7,1222,INR,15566,28649
426,10-10-2017,32,6713,INR,29815,60347
427,10-10-2017,69,10750,INR,91776,298317
428,10-10-2017,24,3366,INR,11448,50607
429,10-10-2017,64,18056,INR,12913,43666
430,10-10-2017,6,3704,INR,33839,487355
431,10-10-2017,12,5000,INR,29856,328482
432,10-10-2017,2,1019,INR,85542,447838
433,10-10-2017,7,3458,INR,48776,528834
434,10-10-2017,12,7917,INR,90942,376440
435,10-10-2017,6,1394,INR,13191,10541
436,10-10-2017,60,15875,INR,62416,34618
437,10-10-2017,66,33231,INR,94045,524690
438,10-10-2017,1,60,INR,11559,427063
439,10-10-2017,2,1079,INR,84878,567369
440,10-10-2017,1,329,INR,36921,554152
441,10-10-2017,1,83,INR,18052,476198
442,10-10-2017,20,3731,INR,68478,15442
443,10-10-2017,3,2769,INR,3622,554192
444,10-10-2017,3,2653,INR,31069,544624
445,10-10-2017,17,21477,INR,93845,358260
446,10-10-2017,100,71528,INR,79843,575587
447,10-10-2017,1,477,INR,86086,578854
448,10-10-2017,5,9361,INR,81656,560160
449,10-10-2017,1,116,INR,93894,140941
450,10-10-2017,110,39778,INR,67661,562603
451,10-10-2017,13,11796,INR,88336,22119
452,10-10-2017,10,9144,INR,73538,518057
453,10-10-2017,22,5907,INR,96850,133691
454,10-10-2017,10,1898,INR,18105,420530
455,10-10-2017,5,4148,INR,66052,571161
456,10-10-2017,10,1694,INR,97947,144180
457,10-10-2017,7,898,INR,17610,197408
458,10-10-2017,6,579,INR,20617,430595
459,10-10-2017,11,1389,INR,50866,546664
460,10-10-2017,224,10528,INR,38283,572118
461,10-10-2017,35,2995,INR,50659,391850
462,10-10-2017,70,6130,INR,52384,519877
463,10-10-2017,11,1333,INR,8853,556019
464,10-10-2017,11,898,INR,1410,1216
465,10-10-2017,2,204,INR,52064,41828
466,10-10-2017,1,148,INR,86048,399032
467,10-10-2017,40,5903,INR,5056,209193
468,10-10-2017,1,111,INR,64267,320470
469,10-10-2017,1,97,INR,32894,559226
470,10-10-2017,3,366,INR,81109,561309
471,10-10-2017,4,366,INR,76703,1078
472,10-10-2017,1,65,INR,56073,51389
473,10-10-2017,1,69,INR,95377,399811
474,10-10-2017,1,116,INR,90219,337001
475,10-10-2017,1,162,INR,28393,364080
476,10-10-2017,1,116,INR,56233,338306
477,10-10-2017,1,236,INR,59059,433270
478,10-10-2017,2,1116,INR,3748,565951
479,10-10-2017,1,111,INR,77081,70144
480,10-10-2017,1,74,INR,8752,514919
481,10-10-2017,1,125,INR,69163,431688
482,10-10-2017,1,102,INR,12780,355026
483,10-10-2017,2,208,INR,26273,403248
484,10-10-2017,1,366,INR,61302,544082
485,10-10-2017,1,204,INR,43124,308515
486,10-10-2017,10,1500,INR,71652,4903
487,10-10-2017,3,630,INR,75880,337226
488,10-10-2017,1,65,INR,19343,10359
489,10-10-2017,1,60,INR,65117,421319
490,10-10-2017,1,97,INR,2562,473485
491,10-10-2017,1,51,INR,43386,550212
492,10-10-2017,1,106,INR,64795,106499
493,10-10-2017,33,3556,INR,38562,519457
494,10-10-2017,1,352,INR,38053,59056
495,10-10-2017,1,125,INR,19098,258542
496,10-10-2017,1,130,INR,97138,373809
497,10-10-2017,1,79,INR,19187,157069
498,10-10-2017,7,1255,INR,24271,316635
499,10-10-2017,5,1431,INR,49839,396171
500,10-10-2017,1,106,INR,14315,344930
501,10-10-2017,1,134,INR,51691,513002
502,10-10-2017,1,292,INR,74403,542800
503,10-10-2017,1,394,INR,43661,342079
504,10-10-2017,1,269,INR,40173,9748
505,10-10-2017,1,472,INR,87248,219030
506,10-10-2017,1,148,INR,37839,470927
507,10-10-2017,1,51,INR,70012,338477
508,10-10-2017,1,60,INR,56367,542062
509,10-10-2017,1,32,INR,40566,509273
510,10-10-2017,1,269,INR,87643,59916
511,10-10-2017,1,97,INR,21098,500929
512,10-10-2017,1,144,INR,60375,422334
513,10-10-2017,1,255,INR,46497,95818
514,10-10-2017,1,144,INR,38070,238110
515,10-10-2017,1,333,INR,93121,460122
516,10-10-2017,14,35199,INR,86200,79047
517,10-10-2017,1,32,INR,85456,62710
518,10-10-2017,1,65,INR,49784,55185
519,10-10-2017,1,93,INR,26956,537231
520,10-10-2017,1,51,INR,1594,134827
521,10-10-2017,1,162,INR,18474,224175
522,10-10-2017,200,73880,INR,15862,374567
523,10-10-2017,21,13620,INR,51014,481107
524,10-10-2017,2,1426,INR,35249,348995
525,10-10-2017,2,1731,INR,14905,539017
526,10-10-2017,3,2079,INR,84847,264396
527,10-10-2017,7,5023,INR,49567,428791
528,10-10-2017,53,34241,INR,18371,348991
529,10-10-2017,1,0,INR,91487,507782
530,10-10-2017,1,0,INR,62220,520626
531,10-10-2017,1,1574,INR,43651,505216
532,10-10-2017,1,1306,INR,17539,531996
533,10-10-2017,30,31847,INR,66609,504122
534,10-10-2017,1,370,INR,67278,539713
535,10-10-2017,40,22167,INR,16405,525404
536,10-10-2017,14,13009,INR,56753,520109
537,10-10-2017,23,32005,INR,55081,240153
538,10-10-2017,1,0,INR,97434,531194
539,10-10-2017,1,0,INR,24082,527736
540,10-10-2017,108,97745,INR,83704,507054
541,10-10-2017,7,7046,INR,6291,513986
542,10-10-2017,1,963,INR,91286,536474
543,10-10-2017,23,80139,INR,11011,561511
544,10-10-2017,3,6491,INR,79885,111019
545,10-10-2017,47,89801,INR,91846,397115
546,10-10-2017,1,0,INR,23122,511046
547,10-10-2017,30,48056,INR,17492,423422
548,10-10-2017,7,11315,INR,44759,205417
549,10-10-2017,7,7407,INR,82642,70710
550,10-10-2017,1,0,INR,26987,491172
551,10-10-2017,1,0,INR,33086,429786
552,10-10-2017,4,4926,INR,96923,391633
553,10-10-2017,8,10472,INR,62129,506086
554,10-10-2017,2,2667,INR,65651,399978
555,10-10-2017,7,6579,INR,28317,454312
556,10-10-2017,1,1625,INR,41791,70984
557,10-10-2017,2,5222,INR,12704,510062
558,10-10-2017,1,704,INR,84406,516722
559,10-10-2017,7,15181,INR,31193,
560,10-10-2017,7,7694,INR,72452,
561,11-10-2017,7,6204,INR,30666,546127
562,11-10-2017,7,6204,INR,89408,541876
563,11-10-2017,1,269,INR,96826,497633
564,11-10-2017,3,8213,INR,49447,37757
565,11-10-2017,3,10736,INR,30444,55947
566,11-10-2017,1,764,INR,52137,562166
567,11-10-2017,43,23764,INR,24644,534633
568,11-10-2017,1,537,INR,83775,481448
569,11-10-2017,1,806,INR,97938,50180
570,11-10-2017,12,3741,INR,2521,495094
571,11-10-2017,11,2264,INR,39871,517219
572,11-10-2017,3,750,INR,82243,519211
573,11-10-2017,18,4597,INR,92533,514946
574,11-10-2017,1,125,INR,54257,481138
575,11-10-2017,2,634,INR,29639,483933
576,11-10-2017,2,634,INR,9099,480256
577,11-10-2017,5,1616,INR,51670,129515
578,11-10-2017,19,8269,INR,27729,559478
579,11-10-2017,8,2532,INR,70371,59613
580,11-10-2017,1,287,INR,79710,441020
581,11-10-2017,4,1773,INR,82233,407313
582,11-10-2017,16,4000,INR,19162,504118
583,11-10-2017,1,250,INR,67790,388960
584,11-10-2017,1,213,INR,75127,238560
585,11-10-2017,1,500,INR,18786,423722
586,11-10-2017,67,4023,INR,85505,186109
587,11-10-2017,150,5523,INR,43857,478443
588,11-10-2017,47,4139,INR,34789,510695
589,11-10-2017,4,481,INR,70686,32162
590,11-10-2017,2,662,INR,18961,391685
591,11-10-2017,1,79,INR,98453,102324
592,11-10-2017,1,264,INR,96589,11253
593,11-10-2017,7,833,INR,86794,195786
594,11-10-2017,1,176,INR,29064,337687
595,11-10-2017,89,22343,INR,14895,209415
596,11-10-2017,1,306,INR,89202,454689
597,11-10-2017,107,72333,INR,19011,209374
598,11-10-2017,1,204,INR,97097,206979
599,11-10-2017,13,3704,INR,80588,388963
600,11-10-2017,1,153,INR,24077,575743
601,11-10-2017,13,3403,INR,89076,507376
602,11-10-2017,1,301,INR,11536,450262
603,11-10-2017,7,9884,INR,56569,450263
604,11-10-2017,3,611,INR,26407,97062
605,11-10-2017,1,208,INR,95924,428602
606,11-10-2017,1,218,INR,25090,266835
607,11-10-2017,4,2042,INR,43860,567723
608,11-10-2017,1,106,INR,17857,524412
609,11-10-2017,5,1120,INR,56994,112734
610,11-10-2017,1,97,INR,2850,106685
611,11-10-2017,1,74,INR,74757,284436
612,11-10-2017,2,843,INR,7156,312114
613,11-10-2017,1,148,INR,77843,573203
614,11-10-2017,1,569,INR,57475,30449
615,11-10-2017,1,185,INR,46179,272304
616,11-10-2017,4,1347,INR,27351,556916
617,11-10-2017,7,1537,INR,83199,331555
618,11-10-2017,7,1472,INR,37257,298213
619,11-10-2017,1,139,INR,49035,117346
620,11-10-2017,1,102,INR,99348,48101
621,11-10-2017,1,106,INR,14950,40908
